145771 - COURO BOV.ACAB. ECO SOFT,CAMEL,10/12MM(119/2)|OC-190336/189483 OI-
3028|190,4300|06,10
145277 - COURO BOV.,ECO SOFT,PRETO,09/11MM(56/2)|OC-192824-191743 OI-
3117|101,6000|07,10
145277 - COURO BOV.,ECO SOFT,PRETO,09/11MM(39/2)|OC-192824-191743 OI-
3117|73,5100|07,10
145771 - COURO BOV.ACAB. ECO SOFT,CAMEL,10/12MM(2/2)|OC-192824-191743 OI-
3117|3,1300|06,10
153571 - COURO BOV.,ACAB,SEMI CROMO,BLACK 8718,14/16MM(1/2)|OC- 9398511 OI - 3097|611,2600|3,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 9398511 OI - 3097|31,0000|2,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 9398511 OI - 3097|261,1100|13,75
153438 - COURO BOV.,ACAB. NUBUCADO,NUT,12/14MM(18/2)|OC- 9398511 OI - 3097|116,5400|71,81
153568 - COURO BOV.,ACAB.,SEMI CROMO,COGNAC 8717,14/16MM|OC- 9085611 OI- 3071|10,2100|3,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 8304911 OI - 3048|5,9500|10,05
153588 - COURO BOV.,ACAB.,SEMI CROMO,BLACK 8719,11/13MM|OC- 8304911 OI - 3048|10,1800|11,93
153571 - COURO BOV.,ACAB,SEMI CROMO,BLACK 8718,14/16MM(51/2|OC- 8304911 OI - 3048|5,0500|11,12
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 8304911 OI - 3048|2,0000|6,18
153435 - COURO BOV.,ACAB. NUBUCADO,DK BLUE,12/14MM(18/2)|OC- 8304911 OI - 3048|3,9800|45,25
155636 - CAL GRANADA BLACK 12/14"STATUS(AMOS)(36/2)|OC- 8304911 OI - 3048|1,6000|3,00
155634 - CAL GRANADA ROSY 12/14"STATUS(AMOS)(14/2)|OC- 8304911 OI - 3048|2,0000|34,29
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 8304911 OI - 3048|2,0000|3,00
155630 - CAL GRANADA RUBI RED 12/14"STATUS(AMOS)(10/2)|OC- 8304911 OI - 3048|24,7300|15,91
155635 - CAL GRANADA FAMOUS RED 12/14"STATUS(AMOS)(18/2)|OC- 8304911 OI - 3048|61,5500|3,00
155631 - CAL GRANADA MILITARY 12/14"STATUS(AMOS)(12/2)|OC- 8304911 OI - 3048|2,0000|29,38
155632 - CAL GRANADA DK BLUE 12/14"STATUS(AMOS)(16/2)|OC- 9396111 OI - 3095|53,8100|3,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 8304911 OI - 3048|83,9300|30,19
142235 - COURO BOV.,ACAB. NUBUCADO,PRETO,11/13MM(41/2)|OC- 8304911 OI - 3048|2,0000|3,00
156629 - COURO BOV.,ACAB.,NAPA MINUANO,PRETO 8513,11/13MM|OC- 8304911 OI - 3048|28,7200|5,84
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 8304911 OI - 3048|67,9900|12,87
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 8001411 OI - 3035|26,0800|13,02
